constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,100uM,1,centros_4_8_16,orden,dwell,8,pt,60,402,0.0731857,0.0449093,0.00905999,0.0199164,0.004995,True,0.00999001,True
E215C,100uM,1,centros_4_8_16,orden,dwell,8,nsb,60,402,0.0381943,0.021685,0.00729204,0.00745073,0.00699301,True,0.013986,True
E215C,100uM,1,centros_4_8_16,orden,paso,8,plugin,60,402,0.0522698,0.0284413,0.014039,0.00774295,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,8,mm,60,402,0.048681,0.0240581,0.0096732,0.00794663,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,8,pt,60,402,0.0468866,0.023285,0.00888725,0.00787526,0.001998,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,8,nsb,60,402,0.0461336,0.0211507,0.00719309,0.00790453,0.001998,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,8,plugin,60,402,0.167645,0.0516138,0.0333475,0.0103351,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,8,mm,60,402,0.151495,0.0343798,0.0146553,0.0111985,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,8,pt,60,402,0.144318,0.028343,0.0100796,0.0104089,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,8,nsb,60,402,0.136955,0.0198768,0.000226451,0.0109555,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,evento,4,plugin,60,402,0.276486,0.215182,0.177026,0.0213109,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,evento,4,mm,60,402,0.215476,0.150591,0.108955,0.0235063,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,evento,4,pt,60,402,0.161644,0.0910774,0.0446173,0.0269767,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,evento,4,nsb,60,402,0.16717,0.101366,0.0567852,0.0254013,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,dwell,4,plugin,60,402,0.0382103,0.0325898,0.017811,0.00783019,0.018981,True,0.037962,True
E215C,100uM,1,centros_4_8_16,paridad,dwell,4,mm,60,402,0.0220607,0.0164402,0.00166146,0.00783019,0.018981,True,0.037962,True
E215C,100uM,1,centros_4_8_16,paridad,dwell,4,pt,60,402,0.0220607,0.0164402,0.00166146,0.00783019,0.018981,True,0.037962,True
E215C,100uM,1,centros_4_8_16,paridad,dwell,4,nsb,60,402,0.0131685,0.00892517,0.00120049,0.00383186,0.018981,True,0.037962,True
E215C,100uM,1,centros_4_8_16,paridad,paso,4,plugin,60,402,0.0522698,0.0378561,0.0214071,0.00899877,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,paso,4,mm,60,402,0.048681,0.0327985,0.0165227,0.00904533,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,paso,4,pt,60,402,0.0468866,0.0322766,0.0159611,0.00898427,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,paso,4,nsb,60,402,0.0461336,0.0301813,0.0138937,0.0089655,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,paridad,dwell_paso,4,plugin,60,402,0.125711,0.0409072,0.0226675,0.0104007,0.000999001,True,0.002997,True
